fact_sheet_id,condition,audience_age,literacy_level,key_message_1,key_message_2,key_message_3,warning_signs,visual_need,ai_demo_task
PE-013,newly diagnosed type 2 diabetes,56,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,confusion or fainting,patient journey timeline,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-014,hypertension,72,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,worsening symptoms despite the plan,patient journey timeline,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-015,COPD,58,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,worsening symptoms despite the plan,patient journey timeline,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-016,asthma,49,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,new severe allergic symptoms,patient journey timeline,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-017,iron-deficiency anaemia,66,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,severe chest pain or breathlessness,medicine schedule,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-018,post-angioplasty care,38,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,severe chest pain or breathlessness,medicine schedule,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-019,newly diagnosed type 2 diabetes,68,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,confusion or fainting,patient journey timeline,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-020,hypertension,58,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,new severe allergic symptoms,medicine schedule,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-021,COPD,55,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,new severe allergic symptoms,medicine schedule,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-022,asthma,68,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,new severe allergic symptoms,daily checklist,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-023,iron-deficiency anaemia,59,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,severe chest pain or breathlessness,patient journey timeline,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-024,post-angioplasty care,69,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,confusion or fainting,medicine schedule,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-025,newly diagnosed type 2 diabetes,71,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,worsening symptoms despite the plan,medicine schedule,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-026,hypertension,55,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,confusion or fainting,patient journey timeline,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-027,COPD,73,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,worsening symptoms despite the plan,patient journey timeline,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-028,asthma,66,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,new severe allergic symptoms,traffic-light warning signs,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-029,iron-deficiency anaemia,48,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,confusion or fainting,daily checklist,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-030,post-angioplasty care,61,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,worsening symptoms despite the plan,medicine schedule,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-031,newly diagnosed type 2 diabetes,69,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,new severe allergic symptoms,medicine schedule,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-032,hypertension,55,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,worsening symptoms despite the plan,patient journey timeline,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-033,COPD,73,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,severe chest pain or breathlessness,daily checklist,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-034,asthma,67,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,severe chest pain or breathlessness,daily checklist,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-035,iron-deficiency anaemia,44,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,new severe allergic symptoms,traffic-light warning signs,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-036,post-angioplasty care,66,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,worsening symptoms despite the plan,traffic-light warning signs,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-037,newly diagnosed type 2 diabetes,69,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,new severe allergic symptoms,traffic-light warning signs,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-038,hypertension,65,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,severe chest pain or breathlessness,patient journey timeline,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-039,COPD,51,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,new severe allergic symptoms,medicine schedule,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
PE-040,asthma,73,Grade 6-8,Take medicines exactly as confirmed by the treating clinician.,Keep a simple symptom or monitoring diary.,Attend the planned follow-up.,severe chest pain or breathlessness,medicine schedule,Create a one-page patient education leaflet without adding diagnosis-specific facts not supplied.
