abstract_id,synthetic_title,topic,method,sample_size,follow_up_weeks,main_outcome,effect_estimate_for_training_only,limitation,abstract_text,ai_demo_task
SYN-ABS-012,Synthetic study 12: AI-supported discharge instructions and patient comprehension,AI-supported discharge instructions and patient comprehension,prospective cohort,596,52,moderate weight reduction,-2.6,single-centre design,"This is a fully synthetic educational abstract about AI-supported discharge instructions and patient comprehension. A prospective cohort enrolled 596 synthetic participants or records. The training-only analysis suggested -2.6 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-013,Synthetic study 13: Digital adherence interventions in hypertension,Digital adherence interventions in hypertension,retrospective cohort,1180,52,higher case completeness,-5.8,risk of selection bias,"This is a fully synthetic educational abstract about Digital adherence interventions in hypertension. A retrospective cohort enrolled 1180 synthetic participants or records. The training-only analysis suggested -5.8 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-014,Synthetic study 14: Ambient clinical documentation and physician workload,Ambient clinical documentation and physician workload,mixed-method implementation study,431,24,reduced documentation time,0.8,single-centre design,"This is a fully synthetic educational abstract about Ambient clinical documentation and physician workload. A mixed-method implementation study enrolled 431 synthetic participants or records. The training-only analysis suggested 0.8 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-015,Synthetic study 15: Generative AI for pharmacovigilance case intake,Generative AI for pharmacovigilance case intake,systematic review simulation,795,52,higher case completeness,-6.1,risk of selection bias,"This is a fully synthetic educational abstract about Generative AI for pharmacovigilance case intake. A systematic review simulation enrolled 795 synthetic participants or records. The training-only analysis suggested -6.1 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-016,Synthetic study 16: GLP-1 receptor agonists for weight loss in non-diabetic adults,GLP-1 receptor agonists for weight loss in non-diabetic adults,randomized controlled trial,1031,24,higher case completeness,-7.9,self-reported outcome,"This is a fully synthetic educational abstract about GLP-1 receptor agonists for weight loss in non-diabetic adults. A randomized controlled trial enrolled 1031 synthetic participants or records. The training-only analysis suggested -7.9 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-017,Synthetic study 17: AI-supported discharge instructions and patient comprehension,AI-supported discharge instructions and patient comprehension,prospective cohort,824,12,improved patient comprehension,7.1,small subgroup sizes,"This is a fully synthetic educational abstract about AI-supported discharge instructions and patient comprehension. A prospective cohort enrolled 824 synthetic participants or records. The training-only analysis suggested 7.1 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-018,Synthetic study 18: Digital adherence interventions in hypertension,Digital adherence interventions in hypertension,retrospective cohort,280,24,moderate weight reduction,-0.0,risk of selection bias,"This is a fully synthetic educational abstract about Digital adherence interventions in hypertension. A retrospective cohort enrolled 280 synthetic participants or records. The training-only analysis suggested -0.0 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-019,Synthetic study 19: Ambient clinical documentation and physician workload,Ambient clinical documentation and physician workload,mixed-method implementation study,426,24,moderate weight reduction,10.9,self-reported outcome,"This is a fully synthetic educational abstract about Ambient clinical documentation and physician workload. A mixed-method implementation study enrolled 426 synthetic participants or records. The training-only analysis suggested 10.9 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-020,Synthetic study 20: Generative AI for pharmacovigilance case intake,Generative AI for pharmacovigilance case intake,systematic review simulation,998,8,no meaningful difference,-5.6,risk of selection bias,"This is a fully synthetic educational abstract about Generative AI for pharmacovigilance case intake. A systematic review simulation enrolled 998 synthetic participants or records. The training-only analysis suggested -5.6 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-021,Synthetic study 21: GLP-1 receptor agonists for weight loss in non-diabetic adults,GLP-1 receptor agonists for weight loss in non-diabetic adults,randomized controlled trial,437,8,higher case completeness,5.7,risk of selection bias,"This is a fully synthetic educational abstract about GLP-1 receptor agonists for weight loss in non-diabetic adults. A randomized controlled trial enrolled 437 synthetic participants or records. The training-only analysis suggested 5.7 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-022,Synthetic study 22: AI-supported discharge instructions and patient comprehension,AI-supported discharge instructions and patient comprehension,prospective cohort,836,52,improved patient comprehension,6.9,risk of selection bias,"This is a fully synthetic educational abstract about AI-supported discharge instructions and patient comprehension. A prospective cohort enrolled 836 synthetic participants or records. The training-only analysis suggested 6.9 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-023,Synthetic study 23: Digital adherence interventions in hypertension,Digital adherence interventions in hypertension,retrospective cohort,616,24,improved patient comprehension,-2.7,short follow-up,"This is a fully synthetic educational abstract about Digital adherence interventions in hypertension. A retrospective cohort enrolled 616 synthetic participants or records. The training-only analysis suggested -2.7 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-024,Synthetic study 24: Ambient clinical documentation and physician workload,Ambient clinical documentation and physician workload,mixed-method implementation study,462,24,reduced documentation time,-3.1,single-centre design,"This is a fully synthetic educational abstract about Ambient clinical documentation and physician workload. A mixed-method implementation study enrolled 462 synthetic participants or records. The training-only analysis suggested -3.1 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-025,Synthetic study 25: Generative AI for pharmacovigilance case intake,Generative AI for pharmacovigilance case intake,systematic review simulation,526,8,moderate weight reduction,10.9,risk of selection bias,"This is a fully synthetic educational abstract about Generative AI for pharmacovigilance case intake. A systematic review simulation enrolled 526 synthetic participants or records. The training-only analysis suggested 10.9 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-026,Synthetic study 26: GLP-1 receptor agonists for weight loss in non-diabetic adults,GLP-1 receptor agonists for weight loss in non-diabetic adults,randomized controlled trial,911,52,reduced documentation time,6.9,short follow-up,"This is a fully synthetic educational abstract about GLP-1 receptor agonists for weight loss in non-diabetic adults. A randomized controlled trial enrolled 911 synthetic participants or records. The training-only analysis suggested 6.9 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-027,Synthetic study 27: AI-supported discharge instructions and patient comprehension,AI-supported discharge instructions and patient comprehension,prospective cohort,422,12,improved patient comprehension,-3.6,short follow-up,"This is a fully synthetic educational abstract about AI-supported discharge instructions and patient comprehension. A prospective cohort enrolled 422 synthetic participants or records. The training-only analysis suggested -3.6 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-028,Synthetic study 28: Digital adherence interventions in hypertension,Digital adherence interventions in hypertension,retrospective cohort,1063,24,reduced documentation time,-2.8,self-reported outcome,"This is a fully synthetic educational abstract about Digital adherence interventions in hypertension. A retrospective cohort enrolled 1063 synthetic participants or records. The training-only analysis suggested -2.8 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-029,Synthetic study 29: Ambient clinical documentation and physician workload,Ambient clinical documentation and physician workload,mixed-method implementation study,387,12,no meaningful difference,7.3,self-reported outcome,"This is a fully synthetic educational abstract about Ambient clinical documentation and physician workload. A mixed-method implementation study enrolled 387 synthetic participants or records. The training-only analysis suggested 7.3 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-030,Synthetic study 30: Generative AI for pharmacovigilance case intake,Generative AI for pharmacovigilance case intake,systematic review simulation,197,12,higher case completeness,-2.1,single-centre design,"This is a fully synthetic educational abstract about Generative AI for pharmacovigilance case intake. A systematic review simulation enrolled 197 synthetic participants or records. The training-only analysis suggested -2.1 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-031,Synthetic study 31: GLP-1 receptor agonists for weight loss in non-diabetic adults,GLP-1 receptor agonists for weight loss in non-diabetic adults,randomized controlled trial,630,52,higher case completeness,4.7,risk of selection bias,"This is a fully synthetic educational abstract about GLP-1 receptor agonists for weight loss in non-diabetic adults. A randomized controlled trial enrolled 630 synthetic participants or records. The training-only analysis suggested 4.7 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-032,Synthetic study 32: AI-supported discharge instructions and patient comprehension,AI-supported discharge instructions and patient comprehension,prospective cohort,1021,52,higher case completeness,3.9,short follow-up,"This is a fully synthetic educational abstract about AI-supported discharge instructions and patient comprehension. A prospective cohort enrolled 1021 synthetic participants or records. The training-only analysis suggested 3.9 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-033,Synthetic study 33: Digital adherence interventions in hypertension,Digital adherence interventions in hypertension,retrospective cohort,398,8,reduced documentation time,-5.9,single-centre design,"This is a fully synthetic educational abstract about Digital adherence interventions in hypertension. A retrospective cohort enrolled 398 synthetic participants or records. The training-only analysis suggested -5.9 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-034,Synthetic study 34: Ambient clinical documentation and physician workload,Ambient clinical documentation and physician workload,mixed-method implementation study,892,24,reduced documentation time,1.6,self-reported outcome,"This is a fully synthetic educational abstract about Ambient clinical documentation and physician workload. A mixed-method implementation study enrolled 892 synthetic participants or records. The training-only analysis suggested 1.6 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-035,Synthetic study 35: Generative AI for pharmacovigilance case intake,Generative AI for pharmacovigilance case intake,systematic review simulation,215,12,reduced documentation time,11.9,short follow-up,"This is a fully synthetic educational abstract about Generative AI for pharmacovigilance case intake. A systematic review simulation enrolled 215 synthetic participants or records. The training-only analysis suggested 11.9 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-036,Synthetic study 36: GLP-1 receptor agonists for weight loss in non-diabetic adults,GLP-1 receptor agonists for weight loss in non-diabetic adults,randomized controlled trial,1166,8,improved patient comprehension,7.6,risk of selection bias,"This is a fully synthetic educational abstract about GLP-1 receptor agonists for weight loss in non-diabetic adults. A randomized controlled trial enrolled 1166 synthetic participants or records. The training-only analysis suggested 7.6 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-037,Synthetic study 37: AI-supported discharge instructions and patient comprehension,AI-supported discharge instructions and patient comprehension,prospective cohort,435,8,no meaningful difference,-2.7,risk of selection bias,"This is a fully synthetic educational abstract about AI-supported discharge instructions and patient comprehension. A prospective cohort enrolled 435 synthetic participants or records. The training-only analysis suggested -2.7 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-038,Synthetic study 38: Digital adherence interventions in hypertension,Digital adherence interventions in hypertension,retrospective cohort,756,12,reduced documentation time,3.7,self-reported outcome,"This is a fully synthetic educational abstract about Digital adherence interventions in hypertension. A retrospective cohort enrolled 756 synthetic participants or records. The training-only analysis suggested 3.7 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-039,Synthetic study 39: Ambient clinical documentation and physician workload,Ambient clinical documentation and physician workload,mixed-method implementation study,161,12,improved patient comprehension,8.2,risk of selection bias,"This is a fully synthetic educational abstract about Ambient clinical documentation and physician workload. A mixed-method implementation study enrolled 161 synthetic participants or records. The training-only analysis suggested 8.2 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-040,Synthetic study 40: Generative AI for pharmacovigilance case intake,Generative AI for pharmacovigilance case intake,systematic review simulation,988,8,moderate weight reduction,-0.7,risk of selection bias,"This is a fully synthetic educational abstract about Generative AI for pharmacovigilance case intake. A systematic review simulation enrolled 988 synthetic participants or records. The training-only analysis suggested -0.7 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-041,Synthetic study 41: GLP-1 receptor agonists for weight loss in non-diabetic adults,GLP-1 receptor agonists for weight loss in non-diabetic adults,randomized controlled trial,768,8,moderate weight reduction,9.2,short follow-up,"This is a fully synthetic educational abstract about GLP-1 receptor agonists for weight loss in non-diabetic adults. A randomized controlled trial enrolled 768 synthetic participants or records. The training-only analysis suggested 9.2 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-042,Synthetic study 42: AI-supported discharge instructions and patient comprehension,AI-supported discharge instructions and patient comprehension,prospective cohort,122,24,improved patient comprehension,-5.9,risk of selection bias,"This is a fully synthetic educational abstract about AI-supported discharge instructions and patient comprehension. A prospective cohort enrolled 122 synthetic participants or records. The training-only analysis suggested -5.9 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-043,Synthetic study 43: Digital adherence interventions in hypertension,Digital adherence interventions in hypertension,retrospective cohort,402,12,improved patient comprehension,-7.4,small subgroup sizes,"This is a fully synthetic educational abstract about Digital adherence interventions in hypertension. A retrospective cohort enrolled 402 synthetic participants or records. The training-only analysis suggested -7.4 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-044,Synthetic study 44: Ambient clinical documentation and physician workload,Ambient clinical documentation and physician workload,mixed-method implementation study,699,12,improved patient comprehension,3.5,single-centre design,"This is a fully synthetic educational abstract about Ambient clinical documentation and physician workload. A mixed-method implementation study enrolled 699 synthetic participants or records. The training-only analysis suggested 3.5 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-045,Synthetic study 45: Generative AI for pharmacovigilance case intake,Generative AI for pharmacovigilance case intake,systematic review simulation,312,12,improved patient comprehension,5.0,short follow-up,"This is a fully synthetic educational abstract about Generative AI for pharmacovigilance case intake. A systematic review simulation enrolled 312 synthetic participants or records. The training-only analysis suggested 5.0 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-046,Synthetic study 46: GLP-1 receptor agonists for weight loss in non-diabetic adults,GLP-1 receptor agonists for weight loss in non-diabetic adults,randomized controlled trial,1067,12,moderate weight reduction,10.5,short follow-up,"This is a fully synthetic educational abstract about GLP-1 receptor agonists for weight loss in non-diabetic adults. A randomized controlled trial enrolled 1067 synthetic participants or records. The training-only analysis suggested 10.5 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-047,Synthetic study 47: AI-supported discharge instructions and patient comprehension,AI-supported discharge instructions and patient comprehension,prospective cohort,946,8,improved patient comprehension,9.9,small subgroup sizes,"This is a fully synthetic educational abstract about AI-supported discharge instructions and patient comprehension. A prospective cohort enrolled 946 synthetic participants or records. The training-only analysis suggested 9.9 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-048,Synthetic study 48: Digital adherence interventions in hypertension,Digital adherence interventions in hypertension,retrospective cohort,475,24,reduced documentation time,-1.9,short follow-up,"This is a fully synthetic educational abstract about Digital adherence interventions in hypertension. A retrospective cohort enrolled 475 synthetic participants or records. The training-only analysis suggested -1.9 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-049,Synthetic study 49: Ambient clinical documentation and physician workload,Ambient clinical documentation and physician workload,mixed-method implementation study,1072,24,moderate weight reduction,11.6,self-reported outcome,"This is a fully synthetic educational abstract about Ambient clinical documentation and physician workload. A mixed-method implementation study enrolled 1072 synthetic participants or records. The training-only analysis suggested 11.6 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-050,Synthetic study 50: Generative AI for pharmacovigilance case intake,Generative AI for pharmacovigilance case intake,systematic review simulation,827,8,reduced documentation time,10.0,risk of selection bias,"This is a fully synthetic educational abstract about Generative AI for pharmacovigilance case intake. A systematic review simulation enrolled 827 synthetic participants or records. The training-only analysis suggested 10.0 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-051,Synthetic study 51: GLP-1 receptor agonists for weight loss in non-diabetic adults,GLP-1 receptor agonists for weight loss in non-diabetic adults,randomized controlled trial,1063,24,improved patient comprehension,3.9,self-reported outcome,"This is a fully synthetic educational abstract about GLP-1 receptor agonists for weight loss in non-diabetic adults. A randomized controlled trial enrolled 1063 synthetic participants or records. The training-only analysis suggested 3.9 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-052,Synthetic study 52: AI-supported discharge instructions and patient comprehension,AI-supported discharge instructions and patient comprehension,prospective cohort,372,12,moderate weight reduction,11.2,risk of selection bias,"This is a fully synthetic educational abstract about AI-supported discharge instructions and patient comprehension. A prospective cohort enrolled 372 synthetic participants or records. The training-only analysis suggested 11.2 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-053,Synthetic study 53: Digital adherence interventions in hypertension,Digital adherence interventions in hypertension,retrospective cohort,214,24,higher case completeness,-1.9,single-centre design,"This is a fully synthetic educational abstract about Digital adherence interventions in hypertension. A retrospective cohort enrolled 214 synthetic participants or records. The training-only analysis suggested -1.9 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
SYN-ABS-054,Synthetic study 54: Ambient clinical documentation and physician workload,Ambient clinical documentation and physician workload,mixed-method implementation study,364,12,moderate weight reduction,-6.2,risk of selection bias,"This is a fully synthetic educational abstract about Ambient clinical documentation and physician workload. A mixed-method implementation study enrolled 364 synthetic participants or records. The training-only analysis suggested -6.2 units of change in the primary outcome. The study is not real evidence and must not be cited. Its purpose is to practise structured extraction, uncertainty labelling and gap identification.","Extract PICO, method, outcome, limitation and research gap while clearly labelling all content as synthetic."
