scenario_id,use_case,environment,data_type,output,risk_hint,required_controls,ai_demo_task
GV-016,Public chatbot appointment triage,public website,symptom text and contact details,routing recommendation,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-017,Discharge instruction simplification,personal AI account,de-identified synthetic note,draft patient handout,moderate,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-018,PV narrative drafting,enterprise workspace,coded adverse-event report,internal narrative draft,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-019,Literature surveillance,research tool,public abstracts,weekly evidence summary,low,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-020,Clinical trial pre-screening,hospital-approved system,limited patient data,eligibility flag for human review,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-021,Public chatbot appointment triage,public website,symptom text and contact details,routing recommendation,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-022,Discharge instruction simplification,personal AI account,de-identified synthetic note,draft patient handout,moderate,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-023,PV narrative drafting,enterprise workspace,coded adverse-event report,internal narrative draft,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-024,Literature surveillance,research tool,public abstracts,weekly evidence summary,low,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-025,Clinical trial pre-screening,hospital-approved system,limited patient data,eligibility flag for human review,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-026,Public chatbot appointment triage,public website,symptom text and contact details,routing recommendation,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-027,Discharge instruction simplification,personal AI account,de-identified synthetic note,draft patient handout,moderate,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-028,PV narrative drafting,enterprise workspace,coded adverse-event report,internal narrative draft,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-029,Literature surveillance,research tool,public abstracts,weekly evidence summary,low,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
GV-030,Clinical trial pre-screening,hospital-approved system,limited patient data,eligibility flag for human review,high,data minimisation; named reviewer; audit log; escalation; testing for bias and failure modes,"Classify risk, identify missing controls and draft a pilot decision with stop conditions."
