question_id,topic,population,intervention_or_exposure,comparison,outcomes,preferred_evidence,date_limit,exclusion_note,ai_demo_task
RQ-011,GLP-1 receptor agonists for weight loss in non-diabetic adults,Adults without diabetes,GLP-1 receptor agonist,placebo or lifestyle intervention,weight change and adverse events,randomized trials and systematic reviews,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-012,AI-supported discharge instructions and patient comprehension,Adults discharged from hospital,AI-assisted plain-language instructions,usual discharge instructions,"comprehension, adherence, readmission",controlled studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-013,Digital adherence interventions in hypertension,Adults with hypertension,mobile or conversational adherence support,usual care,medication adherence and blood pressure,RCTs and cohort studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-014,Ambient clinical documentation and physician workload,Practising clinicians,ambient AI scribing,usual documentation,"time, burnout, note quality",implementation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-015,Generative AI for pharmacovigilance case intake,Spontaneous adverse-event reports,GenAI-assisted intake,manual intake,"completeness, accuracy, processing time",validation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-016,GLP-1 receptor agonists for weight loss in non-diabetic adults,Adults without diabetes,GLP-1 receptor agonist,placebo or lifestyle intervention,weight change and adverse events,randomized trials and systematic reviews,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-017,AI-supported discharge instructions and patient comprehension,Adults discharged from hospital,AI-assisted plain-language instructions,usual discharge instructions,"comprehension, adherence, readmission",controlled studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-018,Digital adherence interventions in hypertension,Adults with hypertension,mobile or conversational adherence support,usual care,medication adherence and blood pressure,RCTs and cohort studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-019,Ambient clinical documentation and physician workload,Practising clinicians,ambient AI scribing,usual documentation,"time, burnout, note quality",implementation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-020,Generative AI for pharmacovigilance case intake,Spontaneous adverse-event reports,GenAI-assisted intake,manual intake,"completeness, accuracy, processing time",validation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-021,GLP-1 receptor agonists for weight loss in non-diabetic adults,Adults without diabetes,GLP-1 receptor agonist,placebo or lifestyle intervention,weight change and adverse events,randomized trials and systematic reviews,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-022,AI-supported discharge instructions and patient comprehension,Adults discharged from hospital,AI-assisted plain-language instructions,usual discharge instructions,"comprehension, adherence, readmission",controlled studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-023,Digital adherence interventions in hypertension,Adults with hypertension,mobile or conversational adherence support,usual care,medication adherence and blood pressure,RCTs and cohort studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-024,Ambient clinical documentation and physician workload,Practising clinicians,ambient AI scribing,usual documentation,"time, burnout, note quality",implementation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-025,Generative AI for pharmacovigilance case intake,Spontaneous adverse-event reports,GenAI-assisted intake,manual intake,"completeness, accuracy, processing time",validation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-026,GLP-1 receptor agonists for weight loss in non-diabetic adults,Adults without diabetes,GLP-1 receptor agonist,placebo or lifestyle intervention,weight change and adverse events,randomized trials and systematic reviews,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-027,AI-supported discharge instructions and patient comprehension,Adults discharged from hospital,AI-assisted plain-language instructions,usual discharge instructions,"comprehension, adherence, readmission",controlled studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-028,Digital adherence interventions in hypertension,Adults with hypertension,mobile or conversational adherence support,usual care,medication adherence and blood pressure,RCTs and cohort studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-029,Ambient clinical documentation and physician workload,Practising clinicians,ambient AI scribing,usual documentation,"time, burnout, note quality",implementation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-030,Generative AI for pharmacovigilance case intake,Spontaneous adverse-event reports,GenAI-assisted intake,manual intake,"completeness, accuracy, processing time",validation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-031,GLP-1 receptor agonists for weight loss in non-diabetic adults,Adults without diabetes,GLP-1 receptor agonist,placebo or lifestyle intervention,weight change and adverse events,randomized trials and systematic reviews,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-032,AI-supported discharge instructions and patient comprehension,Adults discharged from hospital,AI-assisted plain-language instructions,usual discharge instructions,"comprehension, adherence, readmission",controlled studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-033,Digital adherence interventions in hypertension,Adults with hypertension,mobile or conversational adherence support,usual care,medication adherence and blood pressure,RCTs and cohort studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-034,Ambient clinical documentation and physician workload,Practising clinicians,ambient AI scribing,usual documentation,"time, burnout, note quality",implementation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-035,Generative AI for pharmacovigilance case intake,Spontaneous adverse-event reports,GenAI-assisted intake,manual intake,"completeness, accuracy, processing time",validation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-036,GLP-1 receptor agonists for weight loss in non-diabetic adults,Adults without diabetes,GLP-1 receptor agonist,placebo or lifestyle intervention,weight change and adverse events,randomized trials and systematic reviews,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-037,AI-supported discharge instructions and patient comprehension,Adults discharged from hospital,AI-assisted plain-language instructions,usual discharge instructions,"comprehension, adherence, readmission",controlled studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-038,Digital adherence interventions in hypertension,Adults with hypertension,mobile or conversational adherence support,usual care,medication adherence and blood pressure,RCTs and cohort studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-039,Ambient clinical documentation and physician workload,Practising clinicians,ambient AI scribing,usual documentation,"time, burnout, note quality",implementation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
RQ-040,Generative AI for pharmacovigilance case intake,Spontaneous adverse-event reports,GenAI-assisted intake,manual intake,"completeness, accuracy, processing time",validation studies,2019-present,Exclude non-human studies and non-evidence opinion pieces unless used for context.,"Build a reproducible search, evidence table and gap statement; verify every citation."
