query_id,requester_type,product,query,evidence_source_needed,regulatory_risk,suggested_workflow,ai_demo_task
MI-044,Medical science liaison,Drug-G inhaler,What monitoring is recommended?,company core data sheet,Medium,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-045,Medical science liaison,Drug-B antibiotic,What is the mechanism of action?,approved label,Low,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-046,Doctor,Drug-D diabetes injectable,What is the dose adjustment in renal impairment?,company core data sheet,Low,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-047,Patient,Drug-C oncology biologic,Is there evidence for off-label use?,approved label,High,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-048,Patient,Drug-H antidepressant,What is the dose adjustment in renal impairment?,approved label,Low,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-049,Pharmacist,Drug-E anticoagulant,How common is this adverse event?,approved label,Medium,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-050,Patient,Drug-A antihypertensive,Can it be combined with current therapy?,approved label,Medium,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-051,Pharmacist,Drug-F vaccine,What is the dose adjustment in renal impairment?,published literature,Medium,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-052,Sales team,Drug-C oncology biologic,Is there evidence for off-label use?,approved label,High,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-053,Sales team,Drug-A antihypertensive,What is the dose adjustment in renal impairment?,not available in label,Low,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-054,Pharmacist,Drug-C oncology biologic,What monitoring is recommended?,company core data sheet,Medium,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-055,Sales team,Drug-C oncology biologic,Is there evidence for off-label use?,approved label,High,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-056,Medical science liaison,Drug-A antihypertensive,Is there evidence for off-label use?,company core data sheet,High,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-057,Doctor,Drug-F vaccine,What is the mechanism of action?,published literature,Medium,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-058,Medical science liaison,Drug-C oncology biologic,What monitoring is recommended?,not available in label,Low,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-059,Patient,Drug-D diabetes injectable,Can this drug be used in pregnancy?,published literature,High,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-060,Patient,Drug-E anticoagulant,Is there evidence for off-label use?,published literature,High,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-061,Doctor,Drug-F vaccine,What monitoring is recommended?,not available in label,Low,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-062,Doctor,Drug-F vaccine,How common is this adverse event?,not available in label,Low,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-063,Medical science liaison,Drug-E anticoagulant,Can it be combined with current therapy?,approved label,Medium,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-064,Sales team,Drug-A antihypertensive,What monitoring is recommended?,company core data sheet,Medium,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-065,Medical science liaison,Drug-B antibiotic,Is there evidence for off-label use?,approved label,High,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-066,Doctor,Drug-D diabetes injectable,What is the mechanism of action?,published literature,Low,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-067,Pharmacist,Drug-G inhaler,What is the mechanism of action?,approved label,Low,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-068,Sales team,Drug-F vaccine,Can this drug be used in pregnancy?,approved label,High,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-069,Doctor,Drug-C oncology biologic,Can this drug be used in pregnancy?,company core data sheet,High,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-070,Patient,Drug-G inhaler,What monitoring is recommended?,not available in label,Low,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-071,Sales team,Drug-F vaccine,How common is this adverse event?,approved label,Medium,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-072,Medical science liaison,Drug-A antihypertensive,How common is this adverse event?,approved label,Low,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-073,Patient,Drug-B antibiotic,How common is this adverse event?,company core data sheet,Low,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-074,Patient,Drug-H antidepressant,What monitoring is recommended?,not available in label,Low,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-075,Sales team,Drug-C oncology biologic,What is the mechanism of action?,published literature,Low,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-076,Medical science liaison,Drug-E anticoagulant,How common is this adverse event?,published literature,Medium,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-077,Doctor,Drug-C oncology biologic,How common is this adverse event?,approved label,Medium,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-078,Medical science liaison,Drug-G inhaler,Can this drug be used in pregnancy?,approved label,High,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-079,Pharmacist,Drug-G inhaler,What is the dose adjustment in renal impairment?,published literature,Medium,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-080,Medical science liaison,Drug-E anticoagulant,What is the dose adjustment in renal impairment?,published literature,Low,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-081,Medical science liaison,Drug-H antidepressant,What is the dose adjustment in renal impairment?,approved label,Low,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-082,Patient,Drug-B antibiotic,How common is this adverse event?,published literature,Low,PV check required,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-083,Patient,Drug-C oncology biologic,Is there evidence for off-label use?,published literature,High,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-084,Medical science liaison,Drug-B antibiotic,Is there evidence for off-label use?,published literature,High,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-085,Patient,Drug-E anticoagulant,Can it be combined with current therapy?,published literature,Medium,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-086,Sales team,Drug-C oncology biologic,What is the mechanism of action?,approved label,Medium,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-087,Sales team,Drug-E anticoagulant,What is the dose adjustment in renal impairment?,company core data sheet,Low,evidence search,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-088,Sales team,Drug-H antidepressant,How common is this adverse event?,not available in label,Medium,escalate to medical affairs,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-089,Sales team,Drug-B antibiotic,What is the mechanism of action?,published literature,Medium,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
MI-090,Pharmacist,Drug-D diabetes injectable,What is the mechanism of action?,company core data sheet,Medium,response draft,"Draft balanced, non-promotional, evidence-cited response with disclaimer"
