workflow_id,workflow,current_steps,average_turnaround_minutes,main_bottleneck,stakeholders,patient_risk_if_delayed,desired_output,ai_demo_task
HW-025,OPD registration to consultation,9,183,missing information,"doctor, nurse, pharmacist, patient",high,RACI table,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-026,discharge medication reconciliation,9,231,manual handoff,"site coordinator, investigator, patient",high,standard operating checklist,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-027,adverse-event intake escalation,8,197,missing information,"doctor, nurse, pharmacist, patient",low,standard operating checklist,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-028,clinical trial pre-screening,10,45,missing information,"doctor, nurse, pharmacist, patient",moderate,process map,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-029,patient complaint service recovery,6,219,unclear ownership,"site coordinator, investigator, patient",moderate,five-slide improvement deck,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-030,weekly medical affairs literature surveillance,6,72,unclear ownership,"front desk, billing, clinician",moderate,standard operating checklist,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-031,OPD registration to consultation,9,49,duplicate data entry,"medical affairs, MLR, PV",moderate,RACI table,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-032,discharge medication reconciliation,11,169,duplicate data entry,"site coordinator, investigator, patient",low,RACI table,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-033,adverse-event intake escalation,11,233,delayed review,"medical affairs, MLR, PV",moderate,five-slide improvement deck,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-034,clinical trial pre-screening,12,235,missing information,"front desk, billing, clinician",moderate,RACI table,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-035,patient complaint service recovery,7,27,missing information,"site coordinator, investigator, patient",low,five-slide improvement deck,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-036,weekly medical affairs literature surveillance,11,100,language barrier,"front desk, billing, clinician",low,standard operating checklist,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-037,OPD registration to consultation,9,88,duplicate data entry,"doctor, nurse, pharmacist, patient",moderate,process map,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-038,discharge medication reconciliation,9,205,delayed review,"medical affairs, MLR, PV",low,standard operating checklist,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-039,adverse-event intake escalation,12,226,duplicate data entry,"medical affairs, MLR, PV",high,process map,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
HW-040,clinical trial pre-screening,9,132,manual handoff,"doctor, nurse, pharmacist, patient",moderate,process map,"Create a current-state map, identify bottlenecks and propose measurable future-state improvements."
