tool_id,Tool,Icon,Category,Access,Application area,Dataset,Demo objective,Step 1,Step 2,Step 3,Step 4,Prompt template,Expected output,Verification checklist,Safety note,Risk level,Official URL,Verified on
1,ChatGPT,💬,General GenAI co-pilot,Free/Freemium/Paid,Patient communication; data analysis,discharge_summaries.csv,"Upload one synthetic discharge row or paste the selected record. Ask for a Grade 6 patient plan, then verify medicines, warning signs and follow-up.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from discharge_summaries.csv. Use synthetic data only.","Upload one synthetic discharge row or paste the selected record. Ask for a Grade 6 patient plan, then verify medicines, warning signs and follow-up.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Using only this synthetic record, create a patient-friendly discharge plan at Grade 6 reading level. Include what happened, medicine/action schedule exactly as provided, warning signs, follow-up and three teach-back questions. Mark missing information and do not invent facts.",evidence discovery log plus source checks,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Use synthetic or institution-approved data only; personal/public accounts are not an approved destination for PHI.,Medium,https://chatgpt.com/,2026-07-27
12,Connected Papers,🕸️,Literature mapping,Free/Freemium/Paid,Citation-network exploration,research_questions.csv,"Use the topic to find one verified public seed paper, generate the graph and identify prior, derivative and related clusters.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from research_questions.csv. Use synthetic data only.","Use the topic to find one verified public seed paper, generate the graph and identify prior, derivative and related clusters.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Use this synthetic research question to create a reproducible search plan, inclusion/exclusion criteria, evidence-table columns and a verification checklist. Any papers found must be opened and verified.",visual brief plus accessibility notes,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,A graph is exploratory and not a systematic search.,Low,https://www.connectedpapers.com/,2026-07-27
13,ResearchRabbit,🐇,Literature mapping,Free/Freemium,"Collections, citation chasing and alerts",research_questions.csv,"Create a collection for the selected topic, add verified seed papers, inspect similar/earlier/later work and document why each paper is retained.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from research_questions.csv. Use synthetic data only.","Create a collection for the selected topic, add verified seed papers, inspect similar/earlier/later work and document why each paper is retained.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Use this synthetic research question to create a reproducible search plan, inclusion/exclusion criteria, evidence-table columns and a verification checklist. Any papers found must be opened and verified.",structured table plus checklist,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Poor seed selection can distort the discovery path.,Low,https://www.researchrabbit.ai/,2026-07-27
14,Zotero,🗂️,Reference manager,Free,Reference capture and team libraries,research_questions.csv,"Create a collection named after the synthetic question, import verified papers from PubMed, add tags for design/population and attach screening notes.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from research_questions.csv. Use synthetic data only.","Create a collection named after the synthetic question, import verified papers from PubMed, add tags for design/population and attach screening notes.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Use this synthetic research question to create a reproducible search plan, inclusion/exclusion criteria, evidence-table columns and a verification checklist. Any papers found must be opened and verified.",risk classification plus control plan,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Clean imported metadata and remove duplicates before citation.,Low,https://www.zotero.org/,2026-07-27
15,Google AI Studio,🛠️,Prompt prototyping environment,Free/Freemium,Structured prompt experiments,clinical_reasoning_cases.csv,"Use a synthetic reasoning case to test a prompt with explicit schema, uncertainty fields and no-final-diagnosis constraint; compare prompt versions.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from clinical_reasoning_cases.csv. Use synthetic data only.","Use a synthetic reasoning case to test a prompt with explicit schema, uncertainty fields and no-final-diagnosis constraint; compare prompt versions.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"For this synthetic educational case, create a clinician-review differential checklist: common/likely, cannot-miss, supporting and opposing evidence, missing history/exam, tests to consider and escalation triggers. Do not provide a final diagnosis or treatment.",patient-facing draft plus verification footer,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Do not prototype with real patient data unless the environment is formally approved.,High,https://aistudio.google.com/,2026-07-27
16,Canva,🎨,Design productivity,Free/Freemium/Paid,Patient leaflets and workshop visuals,patient_education_facts.csv,Select one synthetic fact sheet and create a one-page leaflet with a medicine schedule or traffic-light warning section.,Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from patient_education_facts.csv. Use synthetic data only.",Select one synthetic fact sheet and create a one-page leaflet with a medicine schedule or traffic-light warning section.,Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Create a one-page patient education content brief using only the supplied synthetic facts. Use plain language, a visual schedule or warning-sign section, and a clinician verification footer.",structured table plus checklist,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,AI-generated medical wording and visuals require content review and accessibility checks.,Low,https://www.canva.com/,2026-07-27
17,Gamma,📊,AI presentation creator,Free/Freemium/Paid,Rapid QI and briefing decks,hospital_workflows.csv,"Paste one workflow record and generate a five-slide deck: problem, current state, patient impact, future state and measures.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from hospital_workflows.csv. Use synthetic data only.","Paste one workflow record and generate a five-slide deck: problem, current state, patient impact, future state and measures.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Analyse this synthetic workflow. Produce a current-state process, bottlenecks, patient impact, RACI ownership, future-state process, three metrics and two stop conditions. Do not invent organisational policies.",structured table plus checklist,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,"Review every statistic, process claim and visual before presenting.",Low,https://gamma.app/,2026-07-27
18,Napkin AI,🧩,Text-to-visual diagrams,Free/Freemium/Paid,Patient journey and workflow diagrams,patient_journey_map.csv,"Paste one journey row and request a five-stage journey map with emotions, friction points and improvement opportunities.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from patient_journey_map.csv. Use synthetic data only.","Paste one journey row and request a five-stage journey map with emotions, friction points and improvement opportunities.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Turn this synthetic record into a five-stage patient journey map showing actions, emotions, friction points, improvement opportunities, owner and metric.",risk classification plus control plan,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Ensure visual simplification does not hide clinical or operational exceptions.,Low,https://www.napkin.ai/,2026-07-27
19,Julius AI,📈,Data analysis assistant,Free/Freemium/Paid,CSV analytics and dashboards,patient_feedback.csv,"Upload the synthetic feedback CSV. Request sentiment/theme counts, department comparisons, top complaints and a concise dashboard.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from patient_feedback.csv. Use synthetic data only.","Upload the synthetic feedback CSV. Request sentiment/theme counts, department comparisons, top complaints and a concise dashboard.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Analyse this synthetic feedback record or uploaded CSV. Identify themes, patient pain points, likely process causes, immediate service recovery, longer-term improvement, owner, metric and fairness concern.",visual brief plus accessibility notes,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Do not upload identifiable feedback or sensitive free text to an unapproved workspace.,Medium,https://julius.ai/,2026-07-27
20,OpenEvidence,🩺,Clinical evidence answer engine,Clinician access,Evidence-backed clinical questions,clinical_reasoning_cases.csv,"Enter one synthetic case as an educational question. Ask for likely and cannot-miss possibilities with citations, then inspect each source.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from clinical_reasoning_cases.csv. Use synthetic data only.","Enter one synthetic case as an educational question. Ask for likely and cannot-miss possibilities with citations, then inspect each source.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"For this synthetic educational case, create a clinician-review differential checklist: common/likely, cannot-miss, supporting and opposing evidence, missing history/exam, tests to consider and escalation triggers. Do not provide a final diagnosis or treatment.",evidence discovery log plus source checks,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Clinician-only decision support; never treat the output as an autonomous diagnosis.,High,https://www.openevidence.com/,2026-07-27
21,Glass Health,🧑‍⚕️,Clinical decision support,Free/Freemium/Paid,Differential diagnosis and documentation,clinical_reasoning_cases.csv,"Paste one synthetic case. Request most likely, expanded and cannot-miss categories, opposing evidence and diagnostic next steps.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from clinical_reasoning_cases.csv. Use synthetic data only.","Paste one synthetic case. Request most likely, expanded and cannot-miss categories, opposing evidence and diagnostic next steps.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"For this synthetic educational case, create a clinician-review differential checklist: common/likely, cannot-miss, supporting and opposing evidence, missing history/exam, tests to consider and escalation triggers. Do not provide a final diagnosis or treatment.",patient-facing draft plus verification footer,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Qualified clinical review is mandatory; verify evidence and patient context.,High,https://glass.health/,2026-07-27
22,Doximity Ask,⚕️,Physician clinical AI,Verified clinician access,Clinical Q&A and documentation,clinical_reasoning_cases.csv,"For eligible verified clinicians, enter the synthetic case, request evidence-grounded differential categories and open the cited sources.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from clinical_reasoning_cases.csv. Use synthetic data only.","For eligible verified clinicians, enter the synthetic case, request evidence-grounded differential categories and open the cited sources.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"For this synthetic educational case, create a clinician-review differential checklist: common/likely, cannot-miss, supporting and opposing evidence, missing history/exam, tests to consider and escalation triggers. Do not provide a final diagnosis or treatment.",structured table plus checklist,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Regional and professional verification restrictions apply; use only within approved clinical workflows.,High,https://www.doximity.com/ask/overview,2026-07-27
23,Pathway,🛤️,Clinical reference platform,Availability varies,Guidelines and clinical reference,clinical_reasoning_cases.csv,"Use one synthetic question to retrieve guideline-based information, compare sources and document uncertainty.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from clinical_reasoning_cases.csv. Use synthetic data only.","Use one synthetic question to retrieve guideline-based information, compare sources and document uncertainty.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"For this synthetic educational case, create a clinician-review differential checklist: common/likely, cannot-miss, supporting and opposing evidence, missing history/exam, tests to consider and escalation triggers. Do not provide a final diagnosis or treatment.",evidence discovery log plus source checks,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Availability and product integration may vary; clinical judgement remains decisive.,High,https://www.pathway.md/for-providers,2026-07-27
24,Paperpal,📝,Academic writing assistant,Free/Freemium/Paid,Academic language and journal readiness,synthetic_manuscript_paragraphs.csv,"Paste one synthetic paragraph, request clarity and cautious academic tone, and prohibit new citations or stronger claims.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from synthetic_manuscript_paragraphs.csv. Use synthetic data only.","Paste one synthetic paragraph, request clarity and cautious academic tone, and prohibit new citations or stronger claims.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Edit this synthetic paragraph for clarity, cautious academic tone and transparency. Do not add evidence, citations, methods or stronger claims. Show key changes and remaining evidence gaps.",patient-facing draft plus verification footer,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,"Authors remain responsible for accuracy, originality and AI disclosure.",Low,https://paperpal.com/,2026-07-27
25,Grammarly,✍️,Writing assistant,Free/Freemium/Paid,Professional communication editing,medical_communication_drafts.csv,"Paste a synthetic message and revise tone, grammar and concision while preserving every clinical fact and commitment.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from medical_communication_drafts.csv. Use synthetic data only.","Paste a synthetic message and revise tone, grammar and concision while preserving every clinical fact and commitment.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Rewrite this synthetic communication for the requested tone while preserving all facts. Flag ambiguous wording, avoid blame or promotion, and provide a line-by-line verification checklist.",visual brief plus accessibility notes,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Do not paste confidential content into an unapproved account.,Low,https://www.grammarly.com/,2026-07-27
26,QuillBot,🔄,Paraphrasing and summarising,Free/Freemium/Paid,Plain-language rewriting,medical_communication_drafts.csv,"Paraphrase one synthetic message at low change intensity, compare line by line and reject any altered clinical meaning.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from medical_communication_drafts.csv. Use synthetic data only.","Paraphrase one synthetic message at low change intensity, compare line by line and reject any altered clinical meaning.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Rewrite this synthetic communication for the requested tone while preserving all facts. Flag ambiguous wording, avoid blame or promotion, and provide a line-by-line verification checklist.",risk classification plus control plan,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Paraphrasing can silently change medical meaning; manual comparison is required.,Medium,https://quillbot.com/,2026-07-27
27,Jenni AI,📄,Academic writing assistant,Free/Freemium/Paid,Outline and manuscript support,synthetic_manuscript_paragraphs.csv,Use a synthetic paragraph to generate an outline or cautious revision; add a note that every claim and citation must be supplied and verified by the author.,Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from synthetic_manuscript_paragraphs.csv. Use synthetic data only.",Use a synthetic paragraph to generate an outline or cautious revision; add a note that every claim and citation must be supplied and verified by the author.,Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Edit this synthetic paragraph for clarity, cautious academic tone and transparency. Do not add evidence, citations, methods or stronger claims. Show key changes and remaining evidence gaps.",visual brief plus accessibility notes,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,"Avoid ghostwriting, fabricated citations and undisclosed AI use.",Low,https://jenni.ai/,2026-07-27
28,BioRender,🧫,Scientific illustration,Freemium/Paid,Scientific figures and pathways,pathway_diagram_briefs.csv,"Use the selected synthetic brief to plan a figure with clear labels, legend, source notes and a synthetic-training watermark.",Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from pathway_diagram_briefs.csv. Use synthetic data only.","Use the selected synthetic brief to plan a figure with clear labels, legend, source notes and a synthetic-training watermark.",Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Convert this synthetic visual brief into a labelled figure plan. Include title, nodes, arrows, legend, source note, accessibility text and a synthetic-training watermark. Do not invent scientific mechanisms.",visual brief plus accessibility notes,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Check scientific accuracy and publication/licensing terms.,Low,https://www.biorender.com/,2026-07-27
29,DeepL,🌐,Translation and writing,Free/Freemium/Paid,Multilingual patient communication,multilingual_counselling_cases.csv,Translate only the selected synthetic counselling draft; preserve medicine/test names and have a fluent clinical reviewer compare both versions.,Open the official tool in a separate tab and sign in only with an appropriate account.,"In the app, select and download one record from multilingual_counselling_cases.csv. Use synthetic data only.",Translate only the selected synthetic counselling draft; preserve medicine/test names and have a fluent clinical reviewer compare both versions.,Compare the output against the original record and complete the verification checklist before accepting any text or visual.,"Using only this synthetic case, draft a bilingual counselling script in English and the preferred language. Preserve medicine and test names in English, include culturally respectful examples, red flags and three teach-back questions. Do not add clinical facts.",evidence discovery log plus source checks,No invented facts | Original meaning preserved | Missing information visible | Human owner named | Escalation/limitations stated | Sources opened when cited,Translation quality does not guarantee clinical equivalence or cultural appropriateness.,Medium,https://www.deepl.com/,2026-07-27
